Title:,18-Jul-2022_CHD8_cortex_downreg_1036-1039
Date/Time:,7/18/2022 4:42:55 PM,7/18/2022 6:25:02 PM
Device:,qTOWER³/G,3107B-3524198
Operator:,Ethan
Comments:,
Colors+Dyes:,Pos,Color Module,Dye,Gain,Meas,Refr
,1,Blue.470.520.11.3,FAM,5,*,
Heated Lid:,100°C
TC Protocol:,steps,scan,°C,m:s,goto,loops,delta Temp(°C),delta Time (s),ramp (°C/s
,1,,95,10:00,0,0,0,0,8
,2,,95,00:15,0,0,0,0,8
,3,*,60,01:00,2,39,0,0,6
,4,*,60,00:15,4,35,1,0,5
Melt active:,Yes
Meas. Repeats:,3
Color Comp.:,

Well,,Sample name,Sample type,Dye,Gene,Ct,Mean Ct,Std.Dev. Ct
A1,,1036_cx,Unknown,FAM,Ttr,31.58,31.71,0.15
A2,,1036_cx,Unknown,FAM,Ttr,31.88,31.71,0.15
A3,,1036_cx,Unknown,FAM,Ttr,31.68,31.71,0.15
A4,,1037_cx,Unknown,FAM,Ttr,32.5,33.55,2.13
A5,,1037_cx,Unknown,FAM,Ttr,32.14,33.55,2.13
A6,,1037_cx,Unknown,FAM,Ttr,36,33.55,2.13
A7,,1038_cx,Unknown,FAM,Ttr,34.06,33.44,1.1
A8,,1038_cx,Unknown,FAM,Ttr,32.18,33.44,1.1
A9,,1038_cx,Unknown,FAM,Ttr,34.09,33.44,1.1
A10,,1039_cx,Unknown,FAM,Ttr,34.25,32.67,1.44
A11,,1039_cx,Unknown,FAM,Ttr,31.43,32.67,1.44
A12,,1039_cx,Unknown,FAM,Ttr,32.34,32.67,1.44
B1,,1036_cx,Unknown,FAM,Prlr,34.19,34.19,0
B2,,1036_cx,Unknown,FAM,Prlr,No Ct,,
B3,,1036_cx,Unknown,FAM,Prlr,No Ct,,
B4,,1037_cx,Unknown,FAM,Prlr,No Ct,,
B5,,1037_cx,Unknown,FAM,Prlr,35.09,35.09,0
B6,,1037_cx,Unknown,FAM,Prlr,No Ct,,
B7,,1038_cx,Unknown,FAM,Prlr,No Ct,,
B8,,1038_cx,Unknown,FAM,Prlr,33.87,33.64,0.31
B9,,1038_cx,Unknown,FAM,Prlr,33.42,33.64,0.31
B10,,1039_cx,Unknown,FAM,Prlr,32.27,32.9,0.89
B11,,1039_cx,Unknown,FAM,Prlr,33.54,32.9,0.89
B12,,1039_cx,Unknown,FAM,Prlr,No Ct,,
C1,,1036_cx,Unknown,FAM,Rec8,26.78,26.81,0.27
C2,,1036_cx,Unknown,FAM,Rec8,26.55,26.81,0.27
C3,,1036_cx,Unknown,FAM,Rec8,27.1,26.81,0.27
C4,,1037_cx,Unknown,FAM,Rec8,27.26,27.12,0.33
C5,,1037_cx,Unknown,FAM,Rec8,27.36,27.12,0.33
C6,,1037_cx,Unknown,FAM,Rec8,26.75,27.12,0.33
C7,,1038_cx,Unknown,FAM,Rec8,27.59,27.52,0.43
C8,,1038_cx,Unknown,FAM,Rec8,27.91,27.52,0.43
